time,x,y,z
1011,279,281,158
1012,277,280,159
1013,276,280,157
1014,279,281,157
1015,279,280,158
1016,277,280,158
1017,277,281,159
1018,278,281,157
1019,279,280,156
1020,279,282,159
1021,278,280,159
1022,276,281,158
1023,279,281,157
1024,279,281,158
1025,278,280,159
1026,278,281,158
1027,279,281,156
1028,279,281,155
1029,279,281,158
1030,278,281,158
1031,276,281,157
1032,279,281,156
1033,279,281,156
1034,277,280,157
1035,277,281,156
1036,279,281,155
1037,279,280,154
1038,278,281,156
1039,278,281,157
1040,276,281,155
1041,278,281,155
1042,279,281,156
1043,277,280,157
1044,277,281,157
1045,278,281,156
1046,279,281,154
1047,278,281,157
1048,277,281,158
1049,276,282,156
1050,279,281,156
1051,279,281,158
1052,277,279,158
1053,277,281,158
1054,278,280,157
1055,279,280,156
1056,278,280,158
1057,277,281,159
1058,276,280,158
1059,278,280,157
1060,279,280,159
1061,277,280,159
1062,278,281,159
1063,279,281,158
1064,279,281,156
1065,278,281,158
1066,277,281,159
1067,276,280,157
1068,279,280,156
1069,280,281,157
1070,277,280,158
1071,277,280,157
1072,278,281,156
1073,279,279,155
1074,278,281,157
1075,278,281,158
1076,277,281,156
1077,279,281,155
1078,277,281,157
1079,277,280,157
1080,277,281,156
1081,278,281,155
1082,279,280,155
1083,278,281,158
1084,277,281,159
1085,278,282,157
1086,280,280,156
1087,279,281,158
1088,278,280,159
1089,277,280,158
1090,279,281,157
1091,279,280,157
1092,278,281,159
1093,278,281,160
1094,276,281,158
1095,279,281,157
1096,280,281,158
1097,278,281,159
1098,277,281,157
1099,279,281,156
1100,279,281,156
1101,278,281,156
1102,277,281,158
1103,278,281,156
1104,279,280,155
1105,279,281,157
1106,277,281,157
1107,277,281,156
1108,278,281,155
1109,279,280,155
1110,278,281,157
1111,277,281,158
1112,278,281,156
1113,279,280,155
1114,279,280,157
1115,277,280,158
1116,276,281,156
1117,279,281,155
1118,279,282,157
1119,277,280,158
1120,277,281,159
1121,278,280,157
1122,279,280,156
1123,279,280,158
1124,277,280,159
1125,276,280,158
1126,279,281,157
1127,279,281,158
1128,278,280,159
1129,277,281,159
1130,278,281,157
1131,279,280,156
1132,279,281,158
1133,277,281,158
1134,276,281,157
1135,279,282,157
1136,279,280,156
1137,278,280,158
1138,278,281,158
1139,279,281,156
1140,279,281,155
1141,278,281,157
1142,276,281,157
1143,276,281,156
1144,279,281,155
1145,279,281,156
1146,277,280,157
1147,277,281,156
1148,278,281,155
1149,279,281,154
1150,279,281,156
1151,277,281,157
1152,276,281,156
1153,279,281,156
1154,279,281,157
1155,278,279,158
1156,277,280,158
1157,278,280,157
1158,279,280,156
1159,278,281,159
1160,277,280,159
1161,276,280,158
1162,279,280,158
1163,279,280,159
1164,278,279,159
1165,277,280,158
1166,279,280,158
1167,279,280,156
1168,278,281,159
1169,277,281,159
1170,276,281,158
1171,279,281,157
1172,279,281,158
1173,277,279,158
1174,276,281,158
1175,278,281,156
1176,279,281,154
1177,278,281,157
1178,277,281,158
1179,276,281,155
1180,279,282,155
1181,279,281,156
1182,277,280,157
1183,278,281,156
1184,278,281,155
1185,279,280,154
1186,278,280,157
1187,277,281,158
1188,276,281,156
1189,279,280,155
1190,279,281,156
1191,278,280,158
1192,277,281,157
1193,278,281,156
1194,279,280,156
1195,278,281,158
1196,278,280,160
1197,277,280,158
1198,279,280,157
1199,279,281,159
1200,277,279,159
1201,277,281,158
1202,279,281,157
1203,279,282,157
1204,278,281,159
1205,278,281,160
1206,277,280,158
1207,279,280,157
1208,279,281,158
1209,274,280,158
1210,277,281,157
1211,278,281,156
1212,279,281,155
1213,278,281,157
1214,277,281,158
1215,277,280,156
1216,279,281,155
1217,279,281,157
1218,277,280,157
1219,277,281,156
1220,278,281,155
1221,279,281,155
1222,278,281,157
1223,277,282,158
1224,277,281,156
1225,279,281,155
1226,279,281,157
1227,277,279,158
1228,277,281,157
1229,279,281,156
1230,279,280,157
1231,278,281,158
1232,277,280,159
1233,278,280,157
1234,279,282,156
1235,279,281,158
1236,278,280,159
1237,277,281,158
1238,276,281,157
1239,279,280,157
1240,277,280,159
1241,277,281,159
1242,278,281,157
1243,279,280,156
1244,279,280,158
1245,278,279,159
1246,277,281,157
1247,279,281,156
1248,279,280,156
1249,278,280,157
1250,277,281,158
1251,278,281,156
1252,279,281,155
1253,280,281,157
1254,278,281,158
1255,276,281,156
1256,280,282,155
1257,279,281,156
1258,277,280,157
1259,277,281,158
1260,278,281,156
1261,279,281,155
1262,279,281,157
1263,277,281,158
1264,276,281,157
1265,280,281,156
1266,279,281,157
1267,277,280,158
1268,278,281,158
1269,278,280,157
1270,278,280,155
1271,278,280,158
1272,277,280,160
1273,276,280,158
1274,279,281,157
1275,279,280,158
1276,277,280,159
1277,278,281,159
1278,279,281,158
1279,280,280,156
1280,279,281,159
1281,277,281,159
1282,276,281,157
1283,279,281,157
1284,279,281,158
1285,278,280,158
1286,278,281,157
1287,279,281,156
1288,279,281,154
1289,278,281,157
1290,277,281,157
1291,276,281,155
1292,279,281,155
1293,279,281,156
1294,278,280,157
1295,277,281,156
1296,278,281,155
1297,279,281,154
1298,278,281,157
1299,276,281,158
1300,276,281,156
1301,279,280,156
1302,279,281,156
1303,277,280,158
1304,276,280,158
1305,278,281,157
1306,279,280,156
1307,278,280,159
1308,277,281,160
1309,277,280,158
1310,279,280,158
1311,279,280,159
1312,277,280,159
1313,277,280,158
1314,278,281,158
1315,279,280,157
1316,278,281,159
1317,277,281,160
1318,278,282,157
1319,280,281,157
1320,278,280,158
1321,278,280,158
1322,278,281,157
1323,279,281,156
1324,279,281,155
1325,278,282,157
1326,277,282,158
1327,277,281,155
1328,279,281,155
1329,279,281,156
1330,277,280,157
1331,277,280,156
1332,278,281,155
1333,279,281,154
1334,278,281,157
1335,277,282,158
1336,277,281,156
1337,279,281,156
1338,279,281,158
1339,277,280,158
1340,277,281,157
1341,279,281,156
1342,279,281,156
1343,278,281,158
1344,277,281,160
1345,278,280,158
1346,279,280,157
1347,280,280,158
1348,278,280,158
1349,277,280,158
1350,279,281,157
1351,279,281,157
1352,278,282,159
1353,278,280,159
1354,278,281,157
1355,279,281,157
1356,279,281,158
1357,278,280,158
1358,276,281,157
1359,279,281,156
1360,279,281,156
1361,278,280,158
1362,277,281,158
1363,279,281,156
1364,279,281,155
