time,x,y,z
851,277,280,158
852,276,281,157
853,279,281,156
854,279,278,157
855,278,280,158
856,277,281,159
857,278,282,156
858,279,281,156
859,279,281,158
860,277,281,158
861,272,281,157
862,279,282,156
863,279,281,157
864,278,280,158
865,277,281,158
866,278,281,156
867,280,281,155
868,279,281,158
869,278,281,158
870,276,281,157
871,279,281,156
872,279,281,157
873,278,280,158
874,277,281,159
875,278,281,156
876,279,280,155
877,278,281,158
878,277,281,158
879,276,280,157
880,279,281,156
881,279,281,158
882,278,280,158
883,277,281,158
884,279,281,157
885,279,281,155
886,278,280,159
887,278,281,158
888,276,281,157
889,279,281,157
890,279,281,157
891,277,280,158
892,277,281,158
893,279,281,156
894,279,280,155
895,278,281,158
896,277,281,158
897,276,281,157
898,279,281,156
899,279,281,158
900,278,279,158
901,277,281,158
902,279,281,157
903,279,281,155
904,278,281,158
905,278,281,158
906,276,281,156
907,279,280,156
908,279,282,158
909,278,280,158
910,277,281,157
911,279,281,157
912,279,280,155
913,278,281,158
914,277,281,159
915,276,281,157
916,279,281,157
917,279,281,158
918,278,280,158
919,277,281,157
920,279,281,156
921,279,280,155
922,278,281,158
923,277,281,159
924,277,281,157
925,279,281,156
926,279,281,158
927,277,280,158
928,277,280,157
929,279,281,156
930,280,280,156
931,278,281,158
932,277,281,159
933,277,281,156
934,279,281,156
935,279,281,157
936,278,280,158
937,277,281,157
938,279,281,156
939,279,281,155
940,278,281,157
941,277,281,158
942,277,283,156
943,279,281,154
944,280,281,157
945,278,280,158
946,278,281,157
947,279,281,156
948,279,281,156
949,278,281,158
950,278,281,159
951,278,281,156
952,279,280,156
953,279,281,159
954,278,280,158
955,277,281,157
956,279,281,156
957,279,280,156
958,278,281,158
959,277,281,158
960,278,281,156
961,279,280,155
962,280,281,157
963,277,280,158
964,277,281,157
965,279,282,157
966,279,282,156
967,278,281,158
968,277,281,159
969,278,281,156
970,279,280,156
971,279,280,157
972,277,280,158
973,277,281,156
974,279,282,156
975,279,281,157
976,278,281,158
977,277,281,159
978,278,281,157
979,279,281,156
980,280,281,158
981,277,281,158
982,277,281,156
983,279,281,156
984,279,281,157
985,278,280,158
986,277,281,159
987,278,281,157
988,279,280,156
989,279,280,157
990,277,280,158
991,277,281,156
992,279,281,157
993,279,281,157
994,278,280,158
995,278,281,158
996,278,281,157
997,279,280,155
998,279,282,158
999,277,281,158
1000,276,280,157
1001,279,281,156
1002,280,281,157
1003,278,280,158
1004,277,281,158
1005,278,280,156
1006,279,280,155
1007,278,281,158
1008,277,280,158
1009,276,281,157
1010,279,281,156
1011,279,281,157
1012,278,280,158
1013,277,282,158
1014,279,281,157
1015,279,280,155
1016,278,281,158
1017,277,281,158
1018,276,281,157
1019,279,281,156
1020,279,281,157
1021,278,279,158
1022,277,281,158
1023,279,281,156
1024,279,281,155
1025,278,281,158
1026,278,281,158
1027,276,281,157
1028,279,281,157
1029,279,281,157
1030,278,280,158
1031,277,281,157
1032,278,280,156
1033,279,281,155
1034,278,281,158
1035,277,281,158
1036,276,281,157
1037,279,281,156
1038,279,281,157
1039,277,279,158
1040,276,281,158
1041,278,281,156
1042,279,280,154
1043,278,281,158
1044,278,280,158
1045,276,281,156
1046,279,281,156
1047,279,279,157
1048,278,279,158
1049,277,281,158
1050,279,281,156
1051,279,281,155
1052,278,281,158
1053,276,281,158
1054,276,281,156
1055,279,281,156
1056,279,281,157
1057,277,279,158
1058,277,281,157
1059,279,281,156
1060,279,280,155
1061,278,281,158
1062,278,281,158
1063,276,281,157
1064,279,281,156
1065,279,281,157
1066,278,280,158
1067,277,281,157
1068,279,281,156
1069,280,280,155
1070,278,280,158
1071,277,281,159
1072,277,281,157
